順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,ライバル候補,トラフィック順位
1,,N/A,https://www.amazon.co.jphttps://aax-fe.amazon.co.jp/x/c/JE3D1O6RGvkExCem32mjvbcAAAGWoqBVDwcAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBZl_QU/https://www.amazon.co.jp/stores/page/87CAD9F5-2531-48BD-BAA5-B041848A997D/?_encoding=UTF8&store_ref=SB_A070410810QXR4CCN3EC9-A0762710138CEC06QSY9H&pd_rd_plhdr=t&aaxitk=ecda12d85a109627b6806e91b3fc7c13&hsa_cr_id=0&lp_asins=B0DXJNRQGK%2CB0DXJS7K9T%2CB0DXJGWNW9&lp_query=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=oFXIn&content-id=amzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686%3Aamzn1.sym.ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_p=ea91fbda-5568-44df-b5b0-99202f731686&pf_rd_r=MEBFYZ4EC795RNRDBKWQ&pd_rd_wg=RzDeR&pd_rd_r=3c970706-72e3-4ece-b0fe-c12702319e0a,N/A,4.2.,919,,
2,,N/A,N/A,N/A,N/A,120,,
3,B0D2Z8CL19,MIKAGAMI キューティクルリムーバー 甘皮処理 ネイル 100ml 日本製,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NTMyMDMzMTcxNjYzNTgxOjE3NDY0ODUxMzg6c3BfYXRmOjMwMDA0MDQyNTY4NzA2Mjo6MDo6&url=%2FMIKAGAMI-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E7%2594%2598%25E7%259A%25AE%25E5%2587%25A6%25E7%2590%2586-%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB-100ml%2Fdp%2FB0D2Z8CL19%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746485138%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,214,4.3,236,,
4,B0DPMP36PQ,【甘皮ごっそり】LULUGEL キューティクルリムーバー 100ml 甘皮処理 ネイルケア 甘皮ケア 爪 ケア 甘皮リムーバー ゲル状速攻タイプなので 処理 時短 (100ml),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NTMyMDMzMTcxNjYzNTgxOjE3NDY0ODUxMzg6c3BfYXRmOjMwMDA3MTc0NzcwNjY2Mjo6MDo6&url=%2F%25E3%2580%2590%25E7%2594%2598%25E7%259A%25AE%25E3%2581%2594%25E3%2581%25A3%25E3%2581%259D%25E3%2582%258A%25E3%2580%2591LULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-100ml-%25E7%2594%2598%25E7%259A%25AE%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25B2%25E3%2583%25AB%25E7%258A%25B6%25E9%2580%259F%25E6%2594%25BB%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2581%25AA%25E3%2581%25AE%25E3%2581%25A7%2Fdp%2FB0DPMP36PQ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746485138%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,27,4.0,241,,
5,B0DPQHN59X,【 LULUGEL 甘皮処理 セット DX】 キューティクルリムーバー キューティクルニッパー 甘皮 ニッパー プッシャー キューティクルプッシャー 爪磨き ガラス ファイル ４点 ジェルネイル ネイルケア セット 説明書付き,https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NTMyMDMzMTcxNjYzNTgxOjE3NDY0ODUxMzg6c3BfYXRmOjMwMDA3MjA1OTc1MTg2Mjo6MDo6&url=%2FLULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%258B%25E3%2583%2583%25E3%2583%2591%25E3%2583%25BC-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%2597%25E3%2583%2583%25E3%2582%25B7%25E3%2583%25A3%25E3%2583%25BC-%25E3%2582%25B8%25E3%2582%25A7%25E3%2583%25AB%25E3%2583%258D%25E3%2582%25A4%25E3%2583%25AB%2Fdp%2FB0DPQHN59X%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746485138%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,90,4.5,977,,
6,B0DPMQP1Z8,【甘皮ごっそり】LULUGEL キューティクルリムーバー 100ml【スポイトタイプ20ml付き】 甘皮処理 ネイルケア 甘皮ケア 爪 ケア 甘皮リムーバー ゲル状速攻タイプなので 処理 時短 (2点セット(20ml.100ml)),https://www.amazon.co.jp/sspa/click?ie=UTF8&spc=MTo0NTMyMDMzMTcxNjYzNTgxOjE3NDY0ODUxMzg6c3BfYXRmOjMwMDA3MTY2NDUzMjI2Mjo6MDo6&url=%2F%25E3%2580%2590%25E7%2594%2598%25E7%259A%25AE%25E3%2581%2594%25E3%2581%25A3%25E3%2581%259D%25E3%2582%258A%25E3%2580%2591LULUGEL-%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC-100ml%25E3%2580%2590%25E3%2582%25B9%25E3%2583%259D%25E3%2582%25A4%25E3%2583%2588%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%259720ml%25E4%25BB%2598%25E3%2581%258D%25E3%2580%2591-%25E3%2582%25B2%25E3%2583%25AB%25E7%258A%25B6%25E9%2580%259F%25E6%2594%25BB%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%2597%25E3%2581%25AA%25E3%2581%25AE%25E3%2581%25A7-20ml-100ml%2Fdp%2FB0DPMQP1Z8%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog%26dib_tag%3Dse%26keywords%3D%25E3%2582%25AD%25E3%2583%25A5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2582%25AF%25E3%2583%25AB%25E3%2583%25AA%25E3%2583%25A0%25E3%2583%25BC%25E3%2583%2590%25E3%2583%25BC%26qid%3D1746485138%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,24,4.3,491,,
7,B00JPVFY38,pa(ピーエー) キューティクルリムーバーR base07 (6mL),https://www.amazon.co.jp/pa-%E3%83%94%E3%83%BC%E3%82%A8%E3%83%BC-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BCR-base07-6mL/dp/B00JPVFY38/ref=sr_1_5?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746485138&sr=8-5,732,4.1,380,,
8,B00O3QYNC8,ブルークロス キューティクルリムーバー 6oz,https://www.amazon.co.jp/BLUECROSS-%E3%83%96%E3%83%AB%E3%83%BC%E3%82%AF%E3%83%AD%E3%82%B9-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC-6oz/dp/B00O3QYNC8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746485138&sr=8-6,277,4.4,919,,
9,B00XXSU8J4,デュカート キューティクルリムーバーII,https://www.amazon.co.jp/%E3%83%87%E3%83%A5%E3%82%AB%E3%83%BC%E3%83%88-%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BCII/dp/B00XXSU8J4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.P3MjLEnYawSIXH6AeHnqU5b6pHqwg54qu9FKGr2lXmJFN3RcxqxXPsoN6uOCzcYO2MkrhgmaIPdCkqcLtlJ1mdex70gCUkBzePnVXkSSO7Cnvm_HS6U2mZeTD0_MRVFIMe1m1rIPRIuPxc8KX_JTEJMGaM21XFHzwQwluuV0EBSI2luWUhXNSarDiP0DDlT2NH0vI5c09bB_CcUBmB7Yp4rMnzcnYTo7rOOpwYLR3ANJrVhnDd6fkPg2LzFHxbFLFS7faapevka6yuBkFEkbGhplsndE9F1mZTEeoNNoV4U.rUxak3ui2z4rWb8Mrq9X-nXjW0oGf3CIj84OvX0xQog&dib_tag=se&keywords=%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%AA%E3%83%A0%E3%83%BC%E3%83%90%E3%83%BC&qid=1746485138&sr=8-7,349,4.0,120,,
10,,MIKAGAMI キューティクルリムーバー 甘皮処理 ネイル 100ml 日本製,https://www.amazon.co.jp#,214,4.3,236,,
