順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B0DLKDLNQB,Nannlia ペンケース 透明 大容量 おしゃれ 筆箱 韓国 可愛い おしゃれ ふでばこ シンプル 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%81%B5%E3%81%A7%E3%81%B0%E3%81%93-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B0DLKDLNQB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-5,19,4.1,78,N/A,https://m.media-amazon.com/images/I/61fW5KisQdL._AC_UL320_.jpg,ライバル候補
2,B0D2NFS9CW,ZEWZE ペンケース 韓国 筆箱 大容量 おしゃれ かわいい 小物 ポーチ ペンポーチ 中学生 高校生 女の子 文房具 収納バッグ マルチポーチ 化粧ポーチ (グレー-クマ柄),https://www.amazon.co.jp/ZEWZE-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E3%83%9E%E3%83%AB%E3%83%81%E3%83%9D%E3%83%BC%E3%83%81-%E3%82%B0%E3%83%AC%E3%83%BC-%E3%82%AF%E3%83%9E%E6%9F%84/dp/B0D2NFS9CW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-6,12,4.4,47,N/A,https://m.media-amazon.com/images/I/71nkZFGN1QL._AC_UL320_.jpg,
3,B0C22KB72C,ペンケース 韓国ins人気 ック生地ペンケース 大容量 収納 可愛い シンプルなデザイン 文房具 男の子 女の子 子ども 小学生 中学生 高校生 大学生 社会人用 (18*5*8cm),https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E9%9F%93%E5%9B%BDins%E4%BA%BA%E6%B0%97-%E3%83%83%E3%82%AF%E7%94%9F%E5%9C%B0%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%AA%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3-%E7%A4%BE%E4%BC%9A%E4%BA%BA%E7%94%A8/dp/B0C22KB72C/ref=sr_1_7?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-7,1,5.0,12,N/A,https://m.media-amazon.com/images/I/61SNsep6rLL._AC_UL320_.jpg,
4,B09J23NBZ9,Nannlia ペンケース おしゃれ 韓国 大容量 筆箱 おしゃれ シンプル ふでばこ 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E4%BA%BA%E6%B0%97%E3%81%AE%E7%AD%86%E7%AE%B1-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B09J23NBZ9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-8,454,4.2,119,N/A,https://m.media-amazon.com/images/I/61hsV1oqzqL._AC_UL320_.jpg,
5,B0C3RN6TSV,ronsila ペンケース 韓国 筆箱 韓国 かわいい おしゃれ 大容量 高校生 女子 中学生 ボアワッフルペンケース（ピンク）,https://www.amazon.co.jp/ronsila-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%83%9C%E3%82%A2%E3%83%AF%E3%83%83%E3%83%95%E3%83%AB%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9%EF%BC%88%E3%83%94%E3%83%B3%E3%82%AF%EF%BC%89/dp/B0C3RN6TSV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-9,6,3.5,41,N/A,https://m.media-amazon.com/images/I/71SeKPnxXNL._AC_UL320_.jpg,
6,B0DMS19J64,Rippem8 ペンケース もこもこ モコモコ 筆箱 ぬいぐるみ リボン柄 ふわふわ 大容量 小物入れ ポーチ 【右側ファスナー】,https://www.amazon.co.jp/Rippem8-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%82%E3%81%93%E3%82%82%E3%81%93-%E3%81%AC%E3%81%84%E3%81%90%E3%82%8B%E3%81%BF-%E3%80%90%E5%8F%B3%E5%81%B4%E3%83%95%E3%82%A1%E3%82%B9%E3%83%8A%E3%83%BC%E3%80%91/dp/B0DMS19J64/ref=sr_1_10?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-10,12,4.7,17,N/A,https://m.media-amazon.com/images/I/71B1+nlWZ+L._AC_UL320_.jpg,
7,B0DQJGX6SW,筆箱 かわいい 韓国 高校生 女子 筆箱韓国 リボン ペンケース 可愛い おしゃれ ふでばこ 中学生 女の子 化粧ポーチ (ブラック),https://www.amazon.co.jp/%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E7%AD%86%E7%AE%B1%E9%9F%93%E5%9B%BD-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81/dp/B0DQJGX6SW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-15,11,4.4,20,N/A,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,
8,B0D1K5BNSW,ペンケース 韓国 筆箱 ペンポーチ シンプル おしゃれ 化粧ポーチ 大容量 多機能 収納袋 軽量 筆入れ 高校生 中学生 女の子 男の子 入園 入学 便利 筆記用具 文房具 (ホワイト) [並行輸入品],https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81-%E4%B8%A6%E8%A1%8C%E8%BC%B8%E5%85%A5%E5%93%81/dp/B0D1K5BNSW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-16,8,3.7,61,N/A,https://m.media-amazon.com/images/I/61Jlc5sGb9L._AC_UL320_.jpg,
9,B0DM8858VC,DUXING ペンケース 筆箱 キルティング ペンケース 大容量 リボン刺繍 学生 大人 可愛い オシャレ (ホワイトブルー),https://www.amazon.co.jp/DUXING-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%AD%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0-%E3%83%AA%E3%83%9C%E3%83%B3%E5%88%BA%E7%B9%8D-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%96%E3%83%AB%E3%83%BC/dp/B0DM8858VC/ref=sr_1_17?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-17,N/A,N/A,< 5,N/A,https://m.media-amazon.com/images/I/31RjPKHo1OL._AC_UL320_.jpg,
10,B0B4VHFSXF,ペンケース ペンポーチ マルチポーチ 化粧ポーチ ふで箱 ふでばこ 小学生 中学生 高校生 大学生 女の子 女子 男子 男の子 入園 入学 筆箱 文房具 筆記用具 多機能 大容量 シンプル 無地 おしゃれ かわいい -ブラック,https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E3%83%9E%E3%83%AB%E3%83%81%E3%83%9D%E3%83%BC%E3%83%81-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B0B4VHFSXF/ref=sr_1_18?dib=eyJ2IjoiMSJ9.L55JDOB-vluxTnVeMwGGAZByJ3HoFEJAB5V5MZo8JiMJM6GCSZSN3rEfuD2ys-cc8UwYtgRnWOQgorEnitiVtRpkaHajSoqSgYfDHvAHM95-FgqJL8s_so9P-apMHQUFtm4H74s0fZXlR8XuTv3LzLznvQSvJKPqAn_6vbMJybP6iP8Iw9H-DKoYftpJBoeB04foKficV4rOncqfqUlWExjeCOXZrjd7vn94ZRQ7A3w0f9z2LCtnSeE1xo10GAxzXSW9Uzb3Xlpl4OjGpCe0OStAJZ6svo1elkc0SFg5kMI.fblsvojjrPyULqXi6evKvvF3C7eABa6PmgxkxykG7BU&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1755438664&sr=8-18,19,2.8,34,N/A,https://m.media-amazon.com/images/I/51PIrm8AZHL._AC_UL320_.jpg,
